iter	Passed	Remaining
0	1	1177
1	1	854
2	2	708
3	2	624
4	2	577
5	3	546
6	3	535
7	4	538
8	4	530
9	5	522
10	5	512
11	6	521
12	6	525
13	7	515
14	7	511
15	8	515
16	8	507
17	9	503
18	9	487
19	9	477
20	10	474
21	10	470
22	10	458
23	11	453
24	11	455
25	12	459
26	12	454
27	13	458
28	13	461
29	14	460
30	14	458
31	15	453
32	15	458
33	16	461
34	16	461
35	17	468
36	17	463
37	18	467
38	19	471
39	19	476
40	20	477
41	20	478
42	21	480
43	21	475
44	22	476
45	22	471
46	23	469
47	23	472
48	24	471
49	25	481
50	25	482
51	26	486
52	27	485
53	27	487
54	28	489
55	29	490
56	29	490
57	30	497
58	31	497
59	31	498
60	32	498
61	32	496
62	33	497
63	33	494
64	34	495
65	34	494
66	35	492
67	35	490
68	36	487
69	36	488
70	36	483
71	37	480
72	37	481
73	38	478
74	38	478
75	39	475
76	39	473
77	39	471
78	40	470
79	40	470
80	41	470
81	41	469
82	42	469
83	43	469
84	43	468
85	44	468
86	44	469
87	45	469
88	45	469
89	46	470
90	46	468
91	47	467
92	47	467
93	48	464
94	48	463
95	49	462
96	49	461
97	49	457
98	49	454
99	50	453
100	50	452
101	51	452
102	51	452
103	52	450
104	52	451
105	53	453
106	54	452
107	54	452
108	55	453
109	56	453
110	56	454
111	57	453
112	57	453
113	58	452
114	58	450
115	59	449
116	59	449
117	60	450
118	60	450
119	61	447
120	61	446
121	62	446
122	62	446
123	63	445
124	64	448
125	64	449
126	65	447
127	65	447
128	66	447
129	66	446
130	67	446
131	67	445
132	68	445
133	68	444
134	69	444
135	70	445
136	70	444
137	71	444
138	71	443
139	72	443
140	72	442
141	73	441
142	73	441
143	74	440
144	74	440
145	74	438
146	75	437
147	76	438
148	76	438
149	77	438
150	77	438
151	78	437
152	79	437
153	79	437
154	80	437
155	80	435
156	81	435
157	81	434
158	82	434
159	82	433
160	83	433
161	83	433
162	84	432
163	84	432
164	85	432
165	85	431
166	86	430
167	86	429
168	87	428
169	87	428
170	88	427
171	88	426
172	89	426
173	90	427
174	90	427
175	91	426
176	91	426
177	92	425
178	92	425
179	93	423
180	93	423
181	93	422
182	94	422
183	95	421
184	95	421
185	96	421
186	96	420
187	97	420
188	97	420
189	98	418
190	98	418
191	99	418
192	99	418
193	100	417
194	101	417
195	101	416
196	101	415
197	102	414
198	102	413
199	103	412
200	103	411
201	104	411
202	104	411
203	105	411
204	105	410
205	106	410
206	107	410
207	107	409
208	107	408
209	108	407
210	108	407
211	109	407
212	109	406
213	110	406
214	111	405
215	111	404
216	112	404
217	112	403
218	113	403
219	113	403
220	114	403
221	114	402
222	115	402
223	115	401
224	116	401
225	116	400
226	117	399
227	117	399
228	118	399
229	119	399
230	119	398
231	120	398
232	120	397
233	121	397
234	121	396
235	122	396
236	122	395
237	123	394
238	123	394
239	124	393
240	124	392
241	125	391
242	125	390
243	125	389
244	126	389
245	126	389
246	127	388
247	128	388
248	128	387
249	129	387
250	129	387
251	130	386
252	130	385
253	131	385
254	131	385
255	132	384
256	133	384
257	133	384
258	134	384
259	134	383
260	135	383
261	135	382
262	137	384
263	137	383
264	138	383
265	138	382
266	138	380
267	139	380
268	139	380
269	140	379
270	141	379
271	141	378
272	142	378
273	142	378
274	143	377
275	143	377
276	144	376
277	144	376
278	145	375
279	146	375
280	146	374
281	147	374
282	147	374
283	148	373
284	148	373
285	149	373
286	150	372
287	150	372
288	151	372
289	151	371
290	152	371
291	153	371
292	153	370
293	154	370
294	154	369
295	155	369
296	155	368
297	156	368
298	157	368
299	157	367
300	158	367
301	158	366
302	158	365
303	159	364
304	159	363
305	160	363
306	160	362
307	161	362
308	162	362
309	162	361
310	163	361
311	163	361
312	164	360
313	164	359
314	165	358
315	165	358
316	166	357
317	166	357
318	167	356
319	167	356
320	168	355
321	168	354
322	169	354
323	169	354
324	170	353
325	170	352
326	171	352
327	171	352
328	172	351
329	172	351
330	173	350
331	173	350
332	174	349
333	175	349
334	175	348
335	176	348
336	177	348
337	177	347
338	178	347
339	178	346
340	179	346
341	179	345
342	180	345
343	181	345
344	181	344
345	181	343
346	182	343
347	183	343
348	183	342
349	184	341
350	184	341
351	184	340
352	185	339
353	185	339
354	186	339
355	187	338
356	187	338
357	188	337
358	188	337
359	189	337
360	190	336
361	190	336
362	191	336
363	191	335
364	192	334
365	193	334
366	193	334
367	194	333
368	194	333
369	195	332
370	195	332
371	196	331
372	196	330
373	197	329
374	197	329
375	198	328
376	198	328
377	199	327
378	199	326
379	199	325
380	200	325
381	200	324
382	201	324
383	201	323
384	202	323
385	203	322
386	203	322
387	204	322
388	204	321
389	205	321
390	205	320
391	206	320
392	206	319
393	207	318
394	207	318
395	208	317
396	208	317
397	209	316
398	210	316
399	210	316
400	211	315
401	211	315
402	212	314
403	213	314
404	213	313
405	214	313
406	214	313
407	215	312
408	216	312
409	216	311
410	217	311
411	217	310
412	218	310
413	219	310
414	219	309
415	220	309
416	220	308
417	221	308
418	221	307
419	222	306
420	222	306
421	223	305
422	223	305
423	224	304
424	224	303
425	224	303
426	225	302
427	225	301
428	226	301
429	226	300
430	227	300
431	228	299
432	228	299
433	229	298
434	229	298
435	230	297
436	230	297
437	231	296
438	231	296
439	232	295
440	232	295
441	233	294
442	233	294
443	234	293
444	235	293
445	235	292
446	236	292
447	236	291
448	237	291
449	238	291
450	238	290
451	239	290
452	239	289
453	240	289
454	241	288
455	241	288
456	242	287
457	242	287
458	243	286
459	243	286
460	244	285
461	245	285
462	245	284
463	245	284
464	246	283
465	247	283
466	247	282
467	248	282
468	249	281
469	249	281
470	249	280
471	250	280
472	251	279
473	251	279
474	252	278
475	252	278
476	253	277
477	253	277
478	254	276
479	254	275
480	255	275
481	255	275
482	256	274
483	257	274
484	257	273
485	258	273
486	259	272
487	259	272
488	260	272
489	260	271
490	261	271
491	262	270
492	262	270
493	263	269
494	263	269
495	264	268
496	264	267
497	265	267
498	265	266
499	266	266
500	267	265
501	267	265
502	268	265
503	268	264
504	269	264
505	269	263
506	270	262
507	270	262
508	271	261
509	271	261
510	272	260
511	272	260
512	273	259
513	274	259
514	274	258
515	275	258
516	275	257
517	276	257
518	276	256
519	277	256
520	278	255
521	278	255
522	279	254
523	279	254
524	280	253
525	281	253
526	281	252
527	282	252
528	282	251
529	283	251
530	283	250
531	284	249
532	284	249
533	285	248
534	285	248
535	286	247
536	286	247
537	287	246
538	287	246
539	288	245
540	288	245
541	289	244
542	289	243
543	289	243
544	290	242
545	290	241
546	291	241
547	291	240
548	292	240
549	293	239
550	293	239
551	294	239
552	295	238
553	295	238
554	296	237
555	296	237
556	297	236
557	298	236
558	298	235
559	299	235
560	299	234
561	300	234
562	300	233
563	301	232
564	301	232
565	302	231
566	302	231
567	303	230
568	304	230
569	304	230
570	305	229
571	306	228
572	306	228
573	306	227
574	307	227
575	307	226
576	308	226
577	308	225
578	309	224
579	309	224
580	310	224
581	311	223
582	311	222
583	312	222
584	312	221
585	313	221
586	314	220
587	314	220
588	315	219
589	315	219
590	316	218
591	316	218
592	317	217
593	318	217
594	318	216
595	319	216
596	319	215
597	320	215
598	320	214
599	321	214
600	322	213
601	322	213
602	323	212
603	323	212
604	324	211
605	324	211
606	325	210
607	325	210
608	326	209
609	326	208
610	327	208
611	327	207
612	328	207
613	328	206
614	329	206
615	330	205
616	330	205
617	331	204
618	331	204
619	332	203
620	332	203
621	333	202
622	334	202
623	334	201
624	335	201
625	335	200
626	336	200
627	336	199
628	337	198
629	337	198
630	338	197
631	338	197
632	339	196
633	340	196
634	340	195
635	341	195
636	341	194
637	342	194
638	342	193
639	343	193
640	343	192
641	344	191
642	344	191
643	345	190
644	346	190
645	346	189
646	347	189
647	347	188
648	348	188
649	348	187
650	349	187
651	350	186
652	350	186
653	351	185
654	351	185
655	352	184
656	353	184
657	353	183
658	354	183
659	355	182
660	355	182
661	356	181
662	356	181
663	357	180
664	358	180
665	358	179
666	359	179
667	359	178
668	360	178
669	361	177
670	361	177
671	362	176
672	363	176
673	363	175
674	364	175
675	365	174
676	365	174
677	366	173
678	367	173
679	368	173
680	368	172
681	369	172
682	369	171
683	370	171
684	371	170
685	371	170
686	372	169
687	373	169
688	374	168
689	374	168
690	375	167
691	376	167
692	376	166
693	377	166
694	377	165
695	378	165
696	378	164
697	379	164
698	379	163
699	380	163
700	380	162
701	381	161
702	382	161
703	382	160
704	383	160
705	383	159
